"Scenario","Region","t","Recycling"
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2038,0.329874764820013
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2039,0.422793754197365
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2040,0.536113931220894
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2041,0.66975041485019
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2042,0.823591037002904
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2043,0.998730586382171
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2044,1.19453699300491
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2045,1.40803198435262
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2046,1.63502129857591
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2047,1.86626633830918
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2048,2.10688598277838
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2049,2.35160579244
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2050,2.5980333780864
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2051,2.84367317761983
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2052,3.08904616699578
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2053,3.33332166014764
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2054,3.57616505037363
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2055,3.81718252917268
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2056,4.05557271446989
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2057,4.29073447163832
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2058,4.51999617330138
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2059,4.74136179596401
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2060,4.95243247751556
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2061,5.15125822578862
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2062,5.33644894419124
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2063,5.50635527982503
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2064,5.66059344938818
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2065,5.79888171571313
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2066,5.92180289463446
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2067,6.03080833281404
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2068,6.12809808233171
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2069,6.21592266417006
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2070,6.29646059927721
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2023,0.00126487538221
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2024,0.00191599740008187
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2025,0.00268240922445275
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2026,0.00433029412476561
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2027,0.00674521491202419
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2028,0.00859035020397537
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2029,0.0110564494813327
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2030,0.0144703208359818
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2031,0.0193996313005413
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2032,0.0253909212610993
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2033,0.0349171775229645
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2034,0.0473155509104725
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2035,0.0631373753828642
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2036,0.0831970819417307
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2037,0.107313029093782
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2038,0.134652769388369
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2039,0.166793149073987
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2040,0.203151695592626
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2041,0.243688427183085
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2042,0.288161471846511
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2043,0.336573833952763
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2044,0.389649177769199
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2045,0.447825281435737
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2046,0.509955779482238
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2047,0.576357877724493
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2048,0.648849241365129
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2049,0.713419602014595
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2050,0.782810151198199
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2051,0.846707517262981
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2052,0.906803539585746
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2053,0.959444464901067
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2054,1.00517953492065
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2055,1.04492122675664
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2056,1.07966384529507
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2057,1.11038483144059
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2058,1.13761699574671
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2059,1.16150242510964
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2060,1.18208862723576
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2061,1.19920615005337
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2062,1.21285923338073
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2063,1.22320986200064
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2064,1.23056186134054
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2065,1.23539859758127
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2066,1.2383809480211
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2067,1.24008274064264
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2068,1.24097542482431
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2069,1.24152505862381
"Ambitious-Baseline-Baseline-Baseline-Baseline","Australia/NZ",2070,1.24193049452906
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2023,0.00031716169078699
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2024,0.00081556517720178
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2025,0.00103867403213892
